"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
4.12508745018606,128,128,11.560489793,128,"HF5907","MMF.16S.210_HF5907","2047","WD-WD","WD","4F","baseline",21,-31,-31,NA,"A2","C4",13563,10686,8500,"Mar_2022","ABX","WD","WD","WD"
4.56380956302605,220,220.142857142857,15.314087431,220,"HF5908","MMF.16S.210_HF5908","2048","RC-ABX-PBS","RC","4B","baseline",21,-31,-31,NA,"A2","C4",35853,30510,22809,"Mar_2022","ABX","RC","PBS","RC"
4.66983519291286,310,310.666666666667,18.084870286,310,"HF5909","MMF.16S.210_HF5909","2049","RC-DIET","RC","4B","baseline",21,-31,-31,NA,"A2","C4",83477,68400,49767,"Mar_2022","ABX","WD","RC","RC"
4.15633492619532,186,186.25,14.733488555,186,"HF5911","MMF.16S.210_HF5911","2031","WD-DIET","WD","4C","baseline",21,-31,-31,NA,"A2","C4",32004,25231,18705,"Mar_2022","ABX","RC","WD","WD"
3.19546403159425,77,77,9.562821975,77,"HF5912","MMF.16S.210_HF5912","2032","RC-RC","RC","4C","baseline",21,-31,-31,NA,"A2","C4",11329,9403,7811,"Mar_2022","ABX","RC","RC","RC"
3.21052112909212,80,80,8.742946834,80,"HF5914","MMF.16S.210_HF5914","2034","RC-MICR","RC","4C","baseline",21,-31,-31,NA,"A2","C4",19186,15923,11601,"Mar_2022","ABX","RC","WD","RC"
3.46604683177944,85,85,9.160734114,85,"HF5916","MMF.16S.210_HF5916","2051","WD-ABX-PBS","WD","4F","baseline",21,-31,-31,NA,"A2","C4",18394,14312,11324,"Mar_2022","ABX","WD","PBS","WD"
3.73233984625114,111,111.333333333333,9.997899793,111,"HF5917","MMF.16S.210_HF5917","2052","WD-RC","WD","4D","baseline",21,-31,-31,NA,"A2","C4",15730,12758,10246,"Mar_2022","ABX","RC","RC","WD"
3.37099934792932,66,66,8.401876187,66,"HF5918","MMF.16S.210_HF5918","2053","WD-PBS-PBS","WD","4D","baseline",21,-31,-31,NA,"A2","C4",4048,3224,2748,"Mar_2022","PBS","WD","PBS","WD"
1.80151835982522,33,33,5.45301824,33,"HF5919","MMF.16S.210_HF5919","2054","WD-ABX-PBS","WD","4D","baseline",21,-31,-31,NA,"A2","C4",5533,4414,3964,"Mar_2022","ABX","WD","PBS","WD"
