SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1835,66,7653,6239069,t=6,fecal,fecal,fecal,4.90E+08,8,8,RC-PBS-INF,RC,PBS,INF,6
ST1836,66,7654,6239069,t=6,fecal,fecal,fecal,1.86E+08,8,8,RC-PBS-INF,RC,PBS,INF,6
ST1837,66,7647,6239070,t=6,fecal,fecal,fecal,1.10E+08,8,8,RC-ABX-INF,RC,ABX,INF,6
ST1838,66,7648,6239070,t=6,fecal,fecal,fecal,1.24E+08,8,8,RC-ABX-INF,RC,ABX,INF,6
ST1839,66,7649,6239070,t=6,fecal,fecal,fecal,1.13E+07,8,8,RC-ABX-INF,RC,ABX,INF,6
ST1840,66,7650,6239070,t=6,fecal,fecal,fecal,2.56E+07,8,8,RC-ABX-INF,RC,ABX,INF,6
ST1841,66,7639,6239072,t=6,fecal,fecal,fecal,5.85E+07,8,8,WD-PBS-INF,WD,PBS,INF,6
ST1842,66,7640,6239072,t=6,fecal,fecal,fecal,8.12E+08,8,8,WD-PBS-INF,WD,PBS,INF,6
ST1843,66,7641,6239072,t=6,fecal,fecal,fecal,3.91E+09,8,8,WD-PBS-INF,WD,PBS,INF,6
ST1844,66,7642,6239072,t=6,fecal,fecal,fecal,1.49E+08,8,8,WD-PBS-INF,WD,PBS,INF,6
ST1845,66,7643,6239071,t=6,fecal,fecal,fecal,2.02E+11,8,8,WD-ABX-INF,WD,ABX,INF,6
ST1846,66,7644,6239071,t=6,fecal,fecal,fecal,1.17E+11,8,8,WD-ABX-INF,WD,ABX,INF,6
ST1847,66,7645,6239071,t=6,fecal,fecal,fecal,-,8,8,WD-ABX-INF,WD,ABX,INF,6
ST1848,66,7646,6239071,t=6,fecal,fecal,fecal,7.10E+10,8,8,WD-ABX-INF,WD,ABX,INF,6
ST1849,66,7651,6239069,t=12,fecal,fecal,fecal,1888298,8,8,RC-PBS-INF,RC,PBS,INF,12
ST1850,66,7652,6239069,t=12,fecal,fecal,fecal,8333333,8,8,RC-PBS-INF,RC,PBS,INF,12
ST1851,66,7653,6239069,t=12,fecal,fecal,fecal,2533784,8,8,RC-PBS-INF,RC,PBS,INF,12
ST1852,66,7654,6239069,t=12,fecal,fecal,fecal,8903302,8,8,RC-PBS-INF,RC,PBS,INF,12
ST1853,66,7647,6239070,t=12,fecal,fecal,fecal,535714.3,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1854,66,7648,6239070,t=12,fecal,fecal,fecal,825471.7,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1855,66,7649,6239070,t=12,fecal,fecal,fecal,1445578,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1856,66,7650,6239070,t=12,fecal,fecal,fecal,154321,8,8,RC-ABX-INF,RC,ABX,INF,12
ST1857,66,7639,6239072,t=12,fecal,fecal,fecal,684931.5,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1858,66,7640,6239072,t=12,fecal,fecal,fecal,4166667,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1859,66,7641,6239072,t=12,fecal,fecal,fecal,2349291,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1860,66,7642,6239072,t=12,fecal,fecal,fecal,3502747,8,8,WD-PBS-INF,WD,PBS,INF,12
ST1861,66,7643,6239071,t=12,fecal,fecal,fecal,70093458,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1862,66,7644,6239071,t=12,fecal,fecal,fecal,81713781,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1863,66,7645,6239071,t=12,fecal,fecal,fecal,3.35E+08,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1864,66,7646,6239071,t=12,fecal,fecal,fecal,1.38E+08,8,8,WD-ABX-INF,WD,ABX,INF,12
ST1865,67,7651,6239069,t=24,fecal,fecal,fecal,45454.55,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1866,67,7652,6239069,t=24,fecal,fecal,fecal,31362.01,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1867,67,7653,6239069,t=24,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1868,67,7654,6239069,t=24,fecal,fecal,fecal,120412.8,8,8,RC-PBS-INF,RC,PBS,INF,24
ST1869,67,7647,6239070,t=24,fecal,fecal,fecal,281862.7,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1870,67,7648,6239070,t=24,fecal,fecal,fecal,398250.5,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1871,67,7649,6239070,t=24,fecal,fecal,fecal,7.19E+08,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1872,67,7650,6239070,t=24,fecal,fecal,fecal,8928.571,8,8,RC-ABX-INF,RC,ABX,INF,24
ST1873,67,7639,6239072,t=24,fecal,fecal,fecal,0,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1874,67,7640,6239072,t=24,fecal,fecal,fecal,1.18E+08,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1875,67,7641,6239072,t=24,fecal,fecal,fecal,33293461,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1876,67,7642,6239072,t=24,fecal,fecal,fecal,167338.7,8,8,WD-PBS-INF,WD,PBS,INF,24
ST1877,67,7643,6239071,t=24,fecal,fecal,fecal,4.70E+10,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1878,67,7644,6239071,t=24,fecal,fecal,fecal,3.35E+10,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1879,67,7645,6239071,t=24,fecal,fecal,fecal,3.17E+11,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1880,67,7646,6239071,t=24,fecal,fecal,fecal,1.24E+11,8,8,WD-ABX-INF,WD,ABX,INF,24
ST1881,68,7651,6239069,t=48,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1882,68,7652,6239069,t=48,fecal,fecal,fecal,10162.6,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1883,68,7653,6239069,t=48,fecal,fecal,fecal,0,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1884,68,7654,6239069,t=48,fecal,fecal,fecal,1855469,8,8,RC-PBS-INF,RC,PBS,INF,48
ST1885,68,7647,6239070,t=48,fecal,fecal,fecal,93930.64,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1886,68,7648,6239070,t=48,fecal,fecal,fecal,81081.08,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1887,68,7649,6239070,t=48,fecal,fecal,fecal,1.16E+12,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1888,68,7650,6239070,t=48,fecal,fecal,fecal,0,8,8,RC-ABX-INF,RC,ABX,INF,48
ST1889,68,7639,6239072,t=48,fecal,fecal,fecal,12626.26,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1890,68,7640,6239072,t=48,fecal,fecal,fecal,1.08E+08,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1892,68,7642,6239072,t=48,fecal,fecal,fecal,92857.14,8,8,WD-PBS-INF,WD,PBS,INF,48
ST1893,68,7643,6239071,t=48,fecal,fecal,fecal,6.43E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1894,68,7644,6239071,t=48,fecal,fecal,fecal,3.54E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1895,68,7645,6239071,t=48,fecal,fecal,fecal,1.27E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
ST1896,68,7646,6239071,t=48,fecal,fecal,fecal,4.57E+11,8,8,WD-ABX-INF,WD,ABX,INF,48
